--- Frequent itemSets ---
--- Minimum Support: 0.001 ---
1. [yogurt], support: 0.08587850030074183
219. [beef, whipped/sour cream], support: 0.001403461872619127
220. [beef, other vegetables], support: 0.002806923745238254
221. [beef, canned beer], support: 0.0010024727661565194
222. [bottled beer, beef], support: 0.0010693042839002875
223. [beef, pastry], support: 0.0012029673193878234
224. [beef, citrus fruit], support: 0.001804450979081735
225. [domestic eggs, beef], support: 0.0011361358016440553
226. [tropical fruit, beef], support: 0.0011361358016440553
227. [beef, frankfurter], support: 0.0010024727661565194
228. [beef, fruit/vegetable juice], support: 0.0010693042839002875
229. [beef, newspapers], support: 0.001670787943594199
230. [margarine, beef], support: 0.001403461872619127
231. [beef, rolls/buns], support: 0.001603956425850431
232. [bottled water, beef], support: 0.0013366303548753592
233. [beef, butter], support: 0.0011361358016440553
234. [beef, whole milk], support: 0.004678206242063757
235. [soda, beef], support: 0.001804450979081735
236. [root vegetables, beef], support: 0.001670787943594199
237. [shopping bags, curd], support: 0.0012697988371315912
238. [brown bread, curd], support: 0.0012029673193878234
239. [pip fruit, curd], support: 0.0013366303548753592
240. [pork, curd], support: 0.0011361358016440553
241. [curd, whipped/sour cream], support: 0.001670787943594199
242. [curd, other vegetables], support: 0.003542070440419702
243. [curd, canned beer], support: 0.0012029673193878234
244. [bottled beer, curd], support: 0.0011361358016440553
245. [curd, pastry], support: 0.001403461872619127
246. [curd, citrus fruit], support: 0.0011361358016440553
247. [tropical fruit, curd], support: 0.001871282496825503
248. [curd, sausage], support: 0.0029405867807257902
249. [curd, frankfurter], support: 0.0013366303548753592
250. [margarine, curd], support: 0.0010693042839002875
251. [curd, rolls/buns], support: 0.0027400922274944863
252. [curd, chicken], support: 0.0011361358016440553
253. [bottled water, curd], support: 0.0019381140145692708
254. [curd, whole milk], support: 0.004143554100113613
255. [soda, curd], support: 0.002806923745238254
256. [root vegetables, curd], support: 0.0014702933903628951
257. [dessert, curd], support: 0.0010024727661565194
258. [soft cheese, other vegetables], support: 0.0012029673193878234
259. [soft cheese, rolls/buns], support: 0.0010024727661565194
260. [soft cheese, whole milk], support: 0.0012029673193878234
261. [tropical fruit, flour], support: 0.0010693042839002875
262. [flour, whole milk], support: 0.0013366303548753592
263. [shopping bags, brown bread], support: 0.0012697988371315912
264. [shopping bags, pip fruit], support: 0.001871282496825503
265. [shopping bags, butter milk], support: 0.0010024727661565194
266. [shopping bags, pork], support: 0.0015371249081066632
267. [shopping bags, whipped/sour cream], support: 0.0012029673193878234
268. [shopping bags, other vegetables], support: 0.004945532313038829
269. [shopping bags, canned beer], support: 0.001871282496825503
270. [shopping bags, bottled beer], support: 0.0014702933903628951
271. [shopping bags, pastry], support: 0.0013366303548753592
272. [shopping bags, citrus fruit], support: 0.001804450979081735
273. [shopping bags, domestic eggs], support: 0.0014702933903628951
274. [shopping bags, tropical fruit], support: 0.0027400922274944863
275. [shopping bags, sausage], support: 0.0019381140145692708
276. [shopping bags, frankfurter], support: 0.0015371249081066632
277. [shopping bags, newspapers], support: 0.001804450979081735
278. [shopping bags, margarine], support: 0.0010024727661565194
279. [shopping bags, rolls/buns], support: 0.004745037759807526
280. [shopping bags, chicken], support: 0.0012697988371315912
281. [shopping bags, bottled water], support: 0.002004945532313039
282. [shopping bags, cream cheese ], support: 0.0012029673193878234
283. [shopping bags, butter], support: 0.0013366303548753592
284. [shopping bags, whole milk], support: 0.006348994185657956
285. [shopping bags, soda], support: 0.004410880171088686
286. [shopping bags, root vegetables], support: 0.003341575887188398
287. [shopping bags, dessert], support: 0.0012029673193878234
288. [shopping bags, coffee], support: 0.001403461872619127
289. [beverages, other vegetables], support: 0.0017376194613379669
290. [beverages, sausage], support: 0.0015371249081066632
291. [beverages, rolls/buns], support: 0.0012029673193878234
292. [bottled water, beverages], support: 0.0010693042839002875
293. [beverages, whole milk], support: 0.0019381140145692708
294. [soda, beverages], support: 0.001871282496825503
295. [other vegetables, long life bakery product], support: 0.0011361358016440553
296. [tropical fruit, long life bakery product], support: 0.0010693042839002875
297. [sausage, long life bakery product], support: 0.0010693042839002875
298. [long life bakery product, rolls/buns], support: 0.001670787943594199
299. [long life bakery product, whole milk], support: 0.0024059346387756467
300. [soda, long life bakery product], support: 0.0013366303548753592
301. [pip fruit, frozen vegetables], support: 0.0013366303548753592
302. [frozen vegetables, other vegetables], support: 0.003141081333957094
303. [frozen vegetables, canned beer], support: 0.0013366303548753592
304. [bottled beer, frozen vegetables], support: 0.001403461872619127
305. [frozen vegetables, citrus fruit], support: 0.001603956425850431
306. [tropical fruit, frozen vegetables], support: 0.0010693042839002875
307. [frozen vegetables, sausage], support: 0.0020717770500568067
308. [frozen vegetables, frankfurter], support: 0.0010693042839002875
309. [frozen vegetables, rolls/buns], support: 0.0027400922274944863
310. [bottled water, frozen vegetables], support: 0.0010693042839002875
311. [frozen vegetables, whole milk], support: 0.003809396511394774
312. [soda, frozen vegetables], support: 0.002004945532313039
313. [root vegetables, frozen vegetables], support: 0.002138608567800575
314. [processed cheese, rolls/buns], support: 0.0014702933903628951
315. [processed cheese, whole milk], support: 0.0014702933903628951
316. [root vegetables, processed cheese], support: 0.0010693042839002875
317. [sliced cheese, other vegetables], support: 0.001403461872619127
318. [sliced cheese, sausage], support: 0.0011361358016440553
319. [sliced cheese, whole milk], support: 0.0014702933903628951
320. [soda, sliced cheese], support: 0.0011361358016440553
321. [root vegetables, sliced cheese], support: 0.0012029673193878234
322. [other vegetables, frozen meals], support: 0.002138608567800575
323. [sausage, frozen meals], support: 0.0012697988371315912
324. [frozen meals, rolls/buns], support: 0.0014702933903628951
325. [frozen meals, whole milk], support: 0.0019381140145692708
326. [soda, frozen meals], support: 0.0015371249081066632
327. [pip fruit, brown bread], support: 0.001670787943594199
328. [pork, brown bread], support: 0.001670787943594199
329. [brown bread, whipped/sour cream], support: 0.0010693042839002875
330. [brown bread, other vegetables], support: 0.0030742498162133263
331. [brown bread, canned beer], support: 0.0024059346387756467
332. [bottled beer, brown bread], support: 0.0015371249081066632
333. [brown bread, pastry], support: 0.002004945532313039
334. [brown bread, citrus fruit], support: 0.0017376194613379669
335. [brown bread, domestic eggs], support: 0.0012029673193878234
336. [tropical fruit, brown bread], support: 0.0014702933903628951
337. [brown bread, sausage], support: 0.001804450979081735
338. [brown bread, frankfurter], support: 0.0015371249081066632
339. [brown bread, rolls/buns], support: 0.003341575887188398
340. [bottled water, brown bread], support: 0.0015371249081066632
341. [brown bread, butter], support: 0.0010024727661565194
342. [brown bread, whole milk], support: 0.004477711688832453
343. [soda, brown bread], support: 0.0028737552629820224
344. [root vegetables, brown bread], support: 0.0013366303548753592
345. [packaged fruit/vegetables, rolls/buns], support: 0.0012029673193878234
346. [pip fruit, chocolate], support: 0.0013366303548753592
347. [pip fruit, pork], support: 0.001603956425850431
348. [pip fruit, whipped/sour cream], support: 0.001670787943594199
349. [pip fruit, hard cheese], support: 0.0010693042839002875
350. [pip fruit, other vegetables], support: 0.004945532313038829
351. [pip fruit, canned beer], support: 0.001603956425850431
352. [pip fruit, bottled beer], support: 0.0015371249081066632
353. [pip fruit, pastry], support: 0.002205440085544343
354. [pip fruit, citrus fruit], support: 0.0014702933903628951
355. [pip fruit, tropical fruit], support: 0.0020717770500568067
356. [pip fruit, sausage], support: 0.002138608567800575
357. [pip fruit, frankfurter], support: 0.001804450979081735
358. [pip fruit, fruit/vegetable juice], support: 0.001403461872619127
359. [pip fruit, newspapers], support: 0.0012697988371315912
360. [pip fruit, margarine], support: 0.0012697988371315912
361. [pip fruit, rolls/buns], support: 0.004945532313038829
362. [pip fruit, chicken], support: 0.0010693042839002875
363. [pip fruit, bottled water], support: 0.002004945532313039
364. [pip fruit, berries], support: 0.0011361358016440553
365. [pip fruit, butter], support: 0.0011361358016440553
366. [pip fruit, whole milk], support: 0.006616320256633028
367. [pip fruit, soda], support: 0.00394305954688231
368. [pip fruit, root vegetables], support: 0.0026732607097507185
369. [pip fruit, coffee], support: 0.0010693042839002875
370. [other vegetables, chocolate], support: 0.001871282496825503
371. [chocolate, canned beer], support: 0.0010693042839002875
372. [bottled beer, chocolate], support: 0.0010024727661565194
373. [chocolate, citrus fruit], support: 0.0010693042839002875
374. [tropical fruit, chocolate], support: 0.001403461872619127
375. [sausage, chocolate], support: 0.001403461872619127
376. [chocolate, rolls/buns], support: 0.002806923745238254
377. [bottled water, chocolate], support: 0.001403461872619127
378. [chocolate, whole milk], support: 0.0029405867807257902
379. [soda, chocolate], support: 0.001670787943594199
380. [root vegetables, chocolate], support: 0.0012029673193878234
381. [butter milk, other vegetables], support: 0.0012697988371315912
382. [butter milk, tropical fruit], support: 0.0010024727661565194
383. [butter milk, rolls/buns], support: 0.0012697988371315912
384. [butter milk, whole milk], support: 0.001670787943594199
385. [butter milk, soda], support: 0.001403461872619127
386. [butter milk, root vegetables], support: 0.0010024727661565194
387. [pot plants, other vegetables], support: 0.0010024727661565194
388. [pot plants, whole milk], support: 0.0010024727661565194
389. [pork, other vegetables], support: 0.00394305954688231
390. [pork, canned beer], support: 0.001670787943594199
391. [pork, bottled beer], support: 0.0010693042839002875
392. [pork, pastry], support: 0.0015371249081066632
393. [pork, citrus fruit], support: 0.0013366303548753592
394. [pork, domestic eggs], support: 0.0012029673193878234
395. [pork, tropical fruit], support: 0.0015371249081066632
396. [pork, sausage], support: 0.0015371249081066632
397. [pork, margarine], support: 0.0013366303548753592
398. [pork, rolls/buns], support: 0.003408407404932166
399. [pork, bottled water], support: 0.001403461872619127
400. [pork, whole milk], support: 0.005012363830782597
401. [pork, soda], support: 0.003007418298469558
402. [pork, root vegetables], support: 0.0017376194613379669
403. [whipped/sour cream, onions], support: 0.0010693042839002875
404. [whipped/sour cream, other vegetables], support: 0.004143554100113613
405. [whipped/sour cream, canned beer], support: 0.0015371249081066632
406. [bottled beer, whipped/sour cream], support: 0.0012029673193878234
407. [whipped/sour cream, pastry], support: 0.0015371249081066632
408. [whipped/sour cream, citrus fruit], support: 0.0020717770500568067
409. [tropical fruit, whipped/sour cream], support: 0.0024727661565194146
410. [whipped/sour cream, sausage], support: 0.002138608567800575
411. [whipped/sour cream, frankfurter], support: 0.0014702933903628951
412. [whipped/sour cream, newspapers], support: 0.0015371249081066632
413. [margarine, whipped/sour cream], support: 0.0011361358016440553
414. [whipped/sour cream, rolls/buns], support: 0.0029405867807257902
415. [whipped/sour cream, chicken], support: 0.0012697988371315912
416. [bottled water, whipped/sour cream], support: 0.001804450979081735
417. [whipped/sour cream, butter], support: 0.0011361358016440553
418. [whipped/sour cream, whole milk], support: 0.004611374724319989
419. [soda, whipped/sour cream], support: 0.003408407404932166
420. [root vegetables, whipped/sour cream], support: 0.0024727661565194146
421. [white wine, whole milk], support: 0.0012697988371315912
422. [tropical fruit, cat food], support: 0.0010024727661565194
423. [cat food, rolls/buns], support: 0.0010693042839002875
424. [cat food, whole milk], support: 0.001670787943594199
425. [other vegetables, onions], support: 0.0015371249081066632
426. [tropical fruit, onions], support: 0.0012029673193878234
427. [onions, rolls/buns], support: 0.0017376194613379669
428. [bottled water, onions], support: 0.0010024727661565194
429. [onions, whole milk], support: 0.0029405867807257902
430. [soda, onions], support: 0.0014702933903628951
431. [root vegetables, onions], support: 0.0013366303548753592
432. [hamburger meat, other vegetables], support: 0.002205440085544343
433. [hamburger meat, bottled beer], support: 0.0010693042839002875
434. [hamburger meat, pastry], support: 0.0010024727661565194
435. [hamburger meat, tropical fruit], support: 0.0013366303548753592
436. [hamburger meat, rolls/buns], support: 0.0019381140145692708
437. [hamburger meat, whole milk], support: 0.0030742498162133263
438. [hamburger meat, soda], support: 0.001670787943594199
439. [hamburger meat, root vegetables], support: 0.0012697988371315912
440. [other vegetables, hard cheese], support: 0.001670787943594199
441. [hard cheese, rolls/buns], support: 0.001670787943594199
442. [hard cheese, whole milk], support: 0.001871282496825503
443. [root vegetables, hard cheese], support: 0.0010024727661565194
444. [other vegetables, canned beer], support: 0.004009891064626078
445. [bottled beer, other vegetables], support: 0.004678206242063757
446. [other vegetables, pastry], support: 0.0036757334759072377
447. [other vegetables, citrus fruit], support: 0.0048118692775512934
448. [domestic eggs, other vegetables], support: 0.003542070440419702
449. [other vegetables, specialty chocolate], support: 0.001670787943594199
450. [tropical fruit, other vegetables], support: 0.006282162667914188
451. [waffles, other vegetables], support: 0.0017376194613379669
452. [other vegetables, sausage], support: 0.006014836596939116
453. [napkins, other vegetables], support: 0.002138608567800575
454. [other vegetables, ice cream], support: 0.0012697988371315912
455. [specialty bar, other vegetables], support: 0.001670787943594199
456. [ham, other vegetables], support: 0.001603956425850431
457. [other vegetables, chewing gum], support: 0.0010693042839002875
458. [hygiene articles, other vegetables], support: 0.001403461872619127
459. [other vegetables, frankfurter], support: 0.005146026866270133
460. [other vegetables, fruit/vegetable juice], support: 0.0029405867807257902
461. [other vegetables, newspapers], support: 0.0036757334759072377
462. [margarine, other vegetables], support: 0.003207912851700862
463. [other vegetables, rolls/buns], support: 0.010559379803515338
464. [salty snack, other vegetables], support: 0.002205440085544343
465. [sugar, other vegetables], support: 0.0012697988371315912
466. [other vegetables, grapes], support: 0.001603956425850431
467. [other vegetables, chicken], support: 0.002205440085544343
468. [bottled water, other vegetables], support: 0.005480184454988973
469. [candy, other vegetables], support: 0.0011361358016440553
470. [berries, other vegetables], support: 0.0026732607097507185
471. [other vegetables, UHT-milk], support: 0.002138608567800575
472. [other vegetables, oil], support: 0.001804450979081735
473. [cream cheese , other vegetables], support: 0.002138608567800575
474. [misc. beverages, other vegetables], support: 0.0012029673193878234
475. [semi-finished bread, other vegetables], support: 0.0010024727661565194
476. [other vegetables, butter], support: 0.0028737552629820224
477. [other vegetables, whole milk], support: 0.014836596939116486
478. [soda, other vegetables], support: 0.009690570072846355
479. [root vegetables, other vegetables], support: 0.005279689901757669
480. [dessert, other vegetables], support: 0.0020717770500568067
481. [other vegetables, coffee], support: 0.0026064291920069507
482. [meat, other vegetables], support: 0.002138608567800575
483. [red/blush wine, other vegetables], support: 0.0011361358016440553
484. [bottled beer, canned beer], support: 0.001871282496825503
485. [pastry, canned beer], support: 0.001871282496825503
486. [canned beer, citrus fruit], support: 0.0015371249081066632
487. [domestic eggs, canned beer], support: 0.0012029673193878234
488. [tropical fruit, canned beer], support: 0.0025395976742631824
489. [sausage, canned beer], support: 0.0024727661565194146
490. [frankfurter, canned beer], support: 0.0013366303548753592
491. [fruit/vegetable juice, canned beer], support: 0.0015371249081066632
492. [canned beer, newspapers], support: 0.001871282496825503
493. [margarine, canned beer], support: 0.0012029673193878234
494. [canned beer, rolls/buns], support: 0.004210385617857381
495. [salty snack, canned beer], support: 0.0010024727661565194
496. [chicken, canned beer], support: 0.0011361358016440553
497. [bottled water, canned beer], support: 0.0014702933903628951
498. [butter, canned beer], support: 0.0010024727661565194
499. [canned beer, whole milk], support: 0.006014836596939116
500. [soda, canned beer], support: 0.003141081333957094
501. [root vegetables, canned beer], support: 0.0020717770500568067
502. [canned beer, coffee], support: 0.0010024727661565194
503. [bottled beer, pastry], support: 0.0020717770500568067
504. [bottled beer, citrus fruit], support: 0.001670787943594199
505. [bottled beer, domestic eggs], support: 0.001670787943594199
506. [bottled beer, tropical fruit], support: 0.0025395976742631824
507. [bottled beer, sausage], support: 0.003341575887188398
508. [bottled beer, frankfurter], support: 0.001670787943594199
509. [bottled beer, fruit/vegetable juice], support: 0.001670787943594199
510. [bottled beer, newspapers], support: 0.0017376194613379669
511. [bottled beer, margarine], support: 0.0010693042839002875
512. [bottled beer, rolls/buns], support: 0.004009891064626078
513. [bottled beer, chicken], support: 0.0010024727661565194
514. [bottled beer, bottled water], support: 0.0025395976742631824
515. [bottled beer, butter], support: 0.001670787943594199
516. [bottled beer, whole milk], support: 0.007150972398583172
517. [bottled beer, soda], support: 0.0029405867807257902
518. [bottled beer, root vegetables], support: 0.0024727661565194146
519. [pastry, citrus fruit], support: 0.002138608567800575
520. [domestic eggs, pastry], support: 0.0013366303548753592
521. [tropical fruit, pastry], support: 0.002806923745238254
522. [pastry, sausage], support: 0.003207912851700862
523. [napkins, pastry], support: 0.0017376194613379669
524. [pastry, frankfurter], support: 0.0017376194613379669
525. [pastry, fruit/vegetable juice], support: 0.0014702933903628951
526. [pastry, newspapers], support: 0.002004945532313039
527. [margarine, pastry], support: 0.0013366303548753592
528. [pastry, rolls/buns], support: 0.00394305954688231
529. [pastry, chicken], support: 0.0012697988371315912
530. [bottled water, pastry], support: 0.0028737552629820224
531. [berries, pastry], support: 0.0010693042839002875
532. [pastry, butter], support: 0.0015371249081066632
533. [pastry, whole milk], support: 0.006482657221145492
534. [soda, pastry], support: 0.0040767225823698456
535. [root vegetables, pastry], support: 0.0028737552629820224
536. [pastry, coffee], support: 0.001403461872619127
537. [domestic eggs, citrus fruit], support: 0.0012697988371315912
538. [citrus fruit, specialty chocolate], support: 0.001403461872619127
539. [tropical fruit, citrus fruit], support: 0.0028737552629820224
540. [sausage, citrus fruit], support: 0.0012029673193878234
541. [napkins, citrus fruit], support: 0.001403461872619127
542. [frankfurter, citrus fruit], support: 0.0017376194613379669
543. [fruit/vegetable juice, citrus fruit], support: 0.0013366303548753592
544. [citrus fruit, newspapers], support: 0.0012029673193878234
545. [margarine, citrus fruit], support: 0.0011361358016440553
546. [citrus fruit, rolls/buns], support: 0.004678206242063757
547. [chicken, citrus fruit], support: 0.0012029673193878234
548. [bottled water, citrus fruit], support: 0.0026064291920069507
549. [candy, citrus fruit], support: 0.0010024727661565194
550. [cream cheese , citrus fruit], support: 0.0010024727661565194
551. [butter, citrus fruit], support: 0.0019381140145692708
552. [citrus fruit, whole milk], support: 0.007150972398583172
553. [soda, citrus fruit], support: 0.003742564993651006
554. [root vegetables, citrus fruit], support: 0.002205440085544343
555. [citrus fruit, coffee], support: 0.0013366303548753592
556. [tropical fruit, domestic eggs], support: 0.002138608567800575
557. [domestic eggs, sausage], support: 0.001804450979081735
558. [domestic eggs, frankfurter], support: 0.001403461872619127
559. [domestic eggs, fruit/vegetable juice], support: 0.0010693042839002875
